Id,name,Gender,height,weight,URL
127772,Filipe Luís Quick Info,male,5 ft 11¾ in,66 kg,https://healthyceleb.com/filipe-luis-height-weight-age-body-statistics/127772
123944,Paco Alcácer Quick Info,male,5 ft 9¼ in,71 kg,https://healthyceleb.com/paco-alcacer-height-weight-age-body-statistics/123944
124938,Abdoulaye Doucouré Quick Info,male,6 ft,77 kg,https://healthyceleb.com/abdoulaye-doucoure-height-weight-age-body-statistics/124938
124157,LiAngelo Ball Quick Info,male,6 ft 5 in,104 kg,https://healthyceleb.com/liangelo-ball-height-weight-age-body-statistics/124157
100777,Benjamin Pavard Quick Info,male,6 ft 1 in,78 kg,https://healthyceleb.com/benjamin-pavard-height-weight-age-body-statistics/100777
100528,Hugo Lloris Quick Info,male,6 ft 2 in,78 kg,https://healthyceleb.com/hugo-lloris-height-weight-age-body-statistics/100528
100730,Sebastian Vettel Quick Info,male,5 ft 9 in,68 kg,https://healthyceleb.com/sebastian-vettel-height-weight-age-body-statistics/100730
100804,Aleksandr Golovin Quick Info,male,5 ft 10 in,70 kg,https://healthyceleb.com/aleksandr-golovin-footballer-height-weight-age-body-statistics/100804
100582,Enes Kanter Quick Info,male,6 ft 11 in,111 kg,https://healthyceleb.com/enes-kanter-height-weight-age-body-statistics/100582
124086,Antonio Rüdiger Quick Info,male,6 ft 3 in,85 kg,https://healthyceleb.com/antonio-rudiger-height-weight-age-body-statistics/124086
100557,Corentin Tolisso Quick Info,male,5 ft 11 in,78 kg,https://healthyceleb.com/corentin-tolisso-height-weight-age-body-statistics/100557
107601,Marcos Alonso Mendoza Quick Info,male,6 ft 2 in,85 kg,https://healthyceleb.com/marcos-alonso-mendoza-height-weight-age-body-statistics/107601
106633,Daniel Cormier Quick Info,male,5 ft 9¾ in,112 kg,https://healthyceleb.com/daniel-cormier-height-weight-age-body-statistics/106633
106631,T.J. Dillashaw Quick Info,male,5 ft 6.5 in,61 kg,https://healthyceleb.com/t-j-dillashaw-height-weight-age-body-statistics/106631
123913,Cenk Tosun Quick Info,male,6 ft,78 kg,https://healthyceleb.com/cenk-tosun-height-weight-age-body-statistics/123913
98103,Samuel Umtiti Quick Info,male,5 ft 11.25 in,79 kg,https://healthyceleb.com/samuel-umtiti-height-weight-age-body-statistics/98103
124964,Ruben Loftus-Cheek Quick Info,male,6 ft 3 in,85 kg,https://healthyceleb.com/ruben-loftus-cheek-height-weight-age-body-statistics/124964
100409,Kieran Trippier Quick Info,male,5 ft 8 in,70 kg,https://healthyceleb.com/kieran-trippier-height-weight-age-body-statistics/100409
97513,Ahmed Musa Quick Info,male,5 ft 8 in,68 kg,https://healthyceleb.com/ahmed-musa-footballer-height-weight-age-body-statistics/97513
97882,Willian Quick Info,male,5 ft 8.5 in,73 kg,https://healthyceleb.com/willian-footballer-born-1988-height-weight-age-body-statistics/97882
104738,Penny McNamee Quick Info,male,5 ft 5 in,54 kg,https://healthyceleb.com/penny-mcnamee-height-weight-age-body-statistics/104738
104357,Holly Peers Quick Info,male,5 ft 7 in,60 kg,https://healthyceleb.com/holly-peers-height-weight-age-body-statistics/104357
111025,Dimitri Payet Quick Info,male,5 ft 9 in,76 kg,https://healthyceleb.com/dimitri-payet-height-weight-age-body-statistics/111025
111067,LaMelo Ball Quick Info,male,6 ft 6 in,76 kg,https://healthyceleb.com/lamelo-ball-height-weight-age-body-statistics/111067
110930,Shkodran Mustafi Quick Info,male,6 ft 0½ in,73 kg,https://healthyceleb.com/shkodran-mustafi-height-weight-age-body-statistics/110930
111921,Radja Nainggolan Quick Info,male,5 ft 9½ in,71 kg,https://healthyceleb.com/radja-nainggolan-height-weight-age-body-statistics/111921
112690,Steven N’Zonzi Quick Info,male,6 ft 5 in,83 kg,https://healthyceleb.com/steven-nzonzi-height-weight-age-body-statistics/112690
113344,Adama Traoré Quick Info,male,5 ft 10 in,76 kg,https://healthyceleb.com/adama-traore-footballer-born-1996-height-weight-age-body-statistics/113344
96759,Koke (Footballer) Quick Info,male,5 ft 9¼ in,74 kg,https://healthyceleb.com/koke-footballer-born-1992-height-weight-age-body-statistics/96759
96844,N’Golo Kanté Quick Info,male,5 ft 5 in,68 kg,https://healthyceleb.com/ngolo-kante-height-weight-age-body-statistics/96844
96289,Kylian Mbappé Quick Info,male,5 ft 10 in,78 kg,https://healthyceleb.com/kylian-mbappe-height-weight-age-body-statistics/96289
108364,Florian Kohler Quick Info,male,5 ft 10 in,66 kg,https://healthyceleb.com/florian-kohler-height-weight-age-body-statistics/108364
96737,Jordi Alba Quick Info,male,5 ft 6¾ in,68 kg,https://healthyceleb.com/jordi-alba-height-weight-age-body-statistics/96737
97710,Radamel Falcao Quick Info,male,5 ft 10 in,75 kg,https://healthyceleb.com/radamel-falcao-height-weight-age-body-statistics/97710
97365,Douglas Costa Quick Info,male,5 ft 8 in,68 kg,https://healthyceleb.com/douglas-costa-height-weight-age-body-statistics/97365
97351,Fred (Footballer) Quick Info,male,5 ft 6½ in,64 kg,https://healthyceleb.com/fred-footballer-height-weight-age-body-statistics/97351
98135,Christian Eriksen Quick Info,male,5 ft 11 in,76 kg,https://healthyceleb.com/christian-eriksen-height-weight-age-body-statistics/98135
113518,Patrick Cutrone Quick Info,male,6 ft 0.5 in,75 kg,https://healthyceleb.com/patrick-cutrone-height-weight-age-body-statistics/113518
114026,Rashid Khan Quick Info,male,5 ft 6 in,67 kg,https://healthyceleb.com/rashid-khan-cricketer-height-weight-age-body-statistics/114026
113979,Franck Kessié Quick Info,male,6 ft,82 kg,https://healthyceleb.com/franck-kessie-height-weight-age-body-statistics/113979
113685,Kevin De Bruyne Quick Info,male,5 ft 11¼ in,73 kg,https://healthyceleb.com/kevin-de-bruyne-height-weight-age-body-statistics/113685
114283,Ryan Fraser Quick Info,male,5 ft 4 in,67 kg,https://healthyceleb.com/ryan-fraser-height-weight-age-body-statistics/114283
114110,James Maddison Quick Info,male,5 ft 9 in,73 kg,https://healthyceleb.com/james-maddison-height-weight-age-body-statistics/114110
115547,Georginio Wijnaldum Quick Info,male,5 ft 9 in,70 kg,https://healthyceleb.com/georginio-wijnaldum-height-weight-age-body-statistics/115547
96623,Paulo Dybala Quick Info,male,5 ft 9¾ in,75 kg,https://healthyceleb.com/paulo-dybala-height-weight-age-body-statistics/96623
114574,Julian Draxler Quick Info,male,6 ft 1 in,72 kg,https://healthyceleb.com/julian-draxler-height-weight-age-body-statistics/114574
114153,Michy Batshuayi Quick Info,male,6 ft 1 in,84 kg,https://healthyceleb.com/michy-batshuayi-height-weight-age-body-statistics/114153
101080,Aleksandar Kolarov Quick Info,male,6 ft 1½ in,80 kg,https://healthyceleb.com/aleksandar-kolarov-height-weight-age-body-statistics/101080
101982,Hardik Pandya Quick Info,male,6 ft,70 kg,https://healthyceleb.com/hardik-pandya-height-weight-age-body-statistics/101982
107962,Alex Iwobi Quick Info,male,6 ft 1 in,75 kg,https://healthyceleb.com/alex-iwobi-height-weight-age-body-statistics/107962
107771,Marko Arnautovic Quick Info,male,6 ft 3½ in,83 kg,https://healthyceleb.com/marko-arnautovic-height-weight-age-body-statistics/107771
108935,Roberto Pereyra Quick Info,male,5 ft 11¾ in,75 kg,https://healthyceleb.com/roberto-pereyra-height-weight-age-body-statistics/108935
108874,Wilfried Zaha Quick Info,male,5 ft 11 in,66 kg,https://healthyceleb.com/wilfried-zaha-height-weight-age-body-statistics/108874
110251,Axel Witsel Quick Info,male,6 ft 1¼ in,80 kg,https://healthyceleb.com/axel-witsel-height-weight-age-body-statistics/110251
108663,Lorenzo Insigne Quick Info,male,5 ft 4 in,64 kg,https://healthyceleb.com/lorenzo-insigne-height-weight-age-body-statistics/108663
108828,Javier Pastore Quick Info,male,6 ft 1½ in,78 kg,https://healthyceleb.com/javier-pastore-height-weight-age-body-statistics/108828
108766,Lance Stephenson Quick Info,male,6 ft 6 in,104 kg,https://healthyceleb.com/lance-stephenson-height-weight-age-body-statistics/108766
110218,Diego Schwartzman Quick Info,male,5 ft 7 in,65 kg,https://healthyceleb.com/diego-schwartzman-height-weight-age-body-statistics/110218
110359,Piotr Zieliński Quick Info,male,5 ft 10 in,68 kg,https://healthyceleb.com/piotr-zielinski-height-weight-age-body-statistics/110359
115488,Brigette Lundy-Paine Quick Info,male,5 ft 8.5 in,56 kg,https://healthyceleb.com/brigette-lundy-paine-height-weight-age-body-statistics/115488
109994,Cody Garbrandt Quick Info,male,5 ft 7¾ in,61 kg,https://healthyceleb.com/cody-garbrandt-height-weight-age-body-statistics/109994
111065,Genta Ismajli Quick Info,male,5 ft 9 in,58 kg,https://healthyceleb.com/genta-ismajli-height-weight-age-body-statistics/111065
98426,Raphaël Varane Quick Info,male,6 ft 3¼ in,81 kg,https://healthyceleb.com/raphael-varane-height-weight-age-body-statistics/98426
97925,Ant Anstead Quick Info,male,6 ft 2 in,81 kg,https://healthyceleb.com/ant-anstead-height-weight-age-body-statistics/97925
98718,Harry Kane Quick Info,male,6 ft 2 in,90 kg,https://healthyceleb.com/harry-kane-height-weight-age-body-statistics/98718
98723,Raheem Sterling Quick Info,male,5 ft 7 in,69 kg,https://healthyceleb.com/raheem-sterling-height-weight-age-body-statistics/98723
99075,Jordan Pickford Quick Info,male,6 ft 1 in,77 kg,https://healthyceleb.com/jordan-pickford-height-weight-age-body-statistics/99075
99019,Eric Dier Quick Info,male,6 ft 3 in,85 kg,https://healthyceleb.com/eric-dier-height-weight-age-body-statistics/99019
97887,Olivier Giroud Quick Info,male,6 ft 3¼ in,93 kg,https://healthyceleb.com/olivier-giroud-height-weight-age-body-statistics/97887
97411,Muhammad Ali Quick Info,male,6 ft 3 in,105 kg,https://healthyceleb.com/muhammad-ali-height-weight-age-body-statistics/97411
115325,Marc Albrighton Quick Info,male,5 ft 9 in,67 kg,https://healthyceleb.com/marc-albrighton-height-weight-age-body-statistics/115325
115594,Granit Xhaka Quick Info,male,6 ft,70 kg,https://healthyceleb.com/granit-xhaka-height-weight-age-body-statistics/115594
116887,Giovani Lo Celso Quick Info,male,5 ft 9¾ in,68 kg,https://healthyceleb.com/giovani-lo-celso-height-weight-age-body-statistics/116887
116542,Tyler Eifert Quick Info,male,6 ft 6 in,116 kg,https://healthyceleb.com/tyler-eifert-height-weight-age-body-statistics/116542
102965,Andre Drummond Quick Info,male,6 ft 10 in,127 kg,https://healthyceleb.com/andre-drummond-height-weight-age-body-statistics/102965
116541,Gegard Mousasi Quick Info,male,6 ft 1 in,84 kg,https://healthyceleb.com/gegard-mousasi-height-weight-age-body-statistics/116541
103007,Deontay Wilder Quick Info,male,6 ft 6¾ in,103 kg,https://healthyceleb.com/deontay-wilder-height-weight-age-body-statistics/103007
106185,Benjamin Mendy Quick Info,male,6 ft,85 kg,https://healthyceleb.com/benjamin-mendy-height-weight-age-body-statistics/106185
110265,Aleksandar Mitrovic Quick Info,male,6 ft 2 in,87 kg,https://healthyceleb.com/aleksandar-mitrovic-footballer-height-weight-age-body-statistics/110265
105371,Peter Crouch Quick Info,male,6 ft 7½ in,75 kg,https://healthyceleb.com/peter-crouch-height-weight-age-body-statistics/105371
110274,Kostas Manolas Quick Info,male,6 ft 2½ in,85 kg,https://healthyceleb.com/kostas-manolas-height-weight-age-body-statistics/110274
104812,Danny Amendola Quick Info,male,5 ft 11 in,77 kg,https://healthyceleb.com/danny-amendola-height-weight-age-body-statistics/104812
109751,Dominick Cruz Quick Info,male,5 ft 8 in,61 kg,https://healthyceleb.com/dominick-cruz-height-weight-age-body-statistics/109751
110376,Jean Michaël Seri Quick Info,male,5 ft 6 in,65 kg,https://healthyceleb.com/jean-michael-seri-height-weight-age-body-statistics/110376
109562,Max Holloway Quick Info,male,5 ft 11 in,66 kg,https://healthyceleb.com/max-holloway-height-weight-age-body-statistics/109562
109563,Sergio Pettis Quick Info,male,5 ft 6 in,57 kg,https://healthyceleb.com/sergio-pettis-height-weight-age-body-statistics/109563
109561,Demetrious Johnson Quick Info,male,5 ft 3 in,57 kg,https://healthyceleb.com/demetrious-johnson-fighter-height-weight-age-body-statistics/109561
130629,Kyle Chandler Quick Info,male,6 ft 1 in,80 kg,https://healthyceleb.com/kyle-chandler-height-weight-age-body-statistics/130629
130689,Yalitza Aparicio Quick Info,male,5 ft 5 in,59 kg,https://healthyceleb.com/yalitza-aparicio-height-weight-age-body-statistics/130689
130556,Ezgi Mola Quick Info,male,6 ft 1.25 in,78 kg,https://healthyceleb.com/richard-kyle-height-weight-age-body-statistics/130556
116960,Jenson Button Quick Info,male,6 ft,76 kg,https://healthyceleb.com/jenson-button-height-weight-age-body-statistics/116960
116826,Nabil Fekir Quick Info,male,5 ft 8 in,72 kg,https://healthyceleb.com/nabil-fekir-height-weight-age-body-statistics/116826
117063,Callum Wilson Quick Info,male,5 ft 11 in,72 kg,https://healthyceleb.com/callum-wilson-english-footballer-height-weight-age-body-statistics/117063
116878,Giovanni Simeone Quick Info,male,5 ft 11 in,68 kg,https://healthyceleb.com/giovanni-simeone-height-weight-age-body-statistics/116878
117066,Stephan El Shaarawy Quick Info,male,5 ft 10 in,72 kg,https://healthyceleb.com/stephan-el-shaarawy-height-weight-age-body-statistics/117066
117077,Ciro Immobile Quick Info,male,6 ft 1 in,72 kg,https://healthyceleb.com/ciro-immobile-height-weight-age-body-statistics/117077
118391,Alex Sandro Quick Info,male,5 ft 11 in,70 kg,https://healthyceleb.com/alex-sandro-height-weight-age-body-statistics/118391
117298,Khabib Nurmagomedov Quick Info,male,5 ft 10 in,70 kg,https://healthyceleb.com/khabib-nurmagomedov-height-weight-age-body-statistics/117298
118817,Fabian Delph Quick Info,male,5 ft 9 in,67 kg,https://healthyceleb.com/fabian-delph-height-weight-age-body-statistics/118817
118387,Aymeric Laporte Quick Info,male,6 ft 3 in,82 kg,https://healthyceleb.com/aymeric-laporte-height-weight-age-body-statistics/118387
106321,Jorginho Quick Info,male,5 ft 11 in,71 kg,https://healthyceleb.com/jorginho-footballer-born-1991-height-weight-age-body-statistics/106321
106307,Richarlison Quick Info,male,5 ft 10½ in,71 kg,https://healthyceleb.com/richarlison-height-weight-age-body-statistics/106307
114587,Rhea Seehorn Quick Info,male,5 ft 4.5 in,54 kg,https://healthyceleb.com/rhea-seehorn-height-weight-age-body-statistics/114587
106274,Bernardo Silva Quick Info,male,5 ft 8 in,64 kg,https://healthyceleb.com/bernardo-silva-height-weight-age-body-statistics/106274
105998,Jason Belmonte Quick Info,male,5 ft 10 in,74 kg,https://healthyceleb.com/jason-belmonte-height-weight-age-body-statistics/105998
106444,Rúben Neves Quick Info,male,5 ft 11 in,76 kg,https://healthyceleb.com/ruben-neves-height-weight-age-body-statistics/106444
107168,Dries Mertens Quick Info,male,5 ft 6½ in,58 kg,https://healthyceleb.com/dries-mertens-height-weight-age-body-statistics/107168
106591,Sébastien Buemi Quick Info,male,5 ft 9¾ in,69 kg,https://healthyceleb.com/sebastien-buemi-height-weight-age-body-statistics/106591
110915,Luis Alberto Quick Info,male,5 ft 11¾ in,75 kg,https://healthyceleb.com/luis-alberto-footballer-born-1992-height-weight-age-body-statistics/110915
98969,Dele Alli Quick Info,male,6 ft 2 in,78 kg,https://healthyceleb.com/dele-alli-height-weight-age-body-statistics/98969
128168,Aaron Sorkin Quick Info,male,6 ft 1.5 in,86 kg,https://healthyceleb.com/aaron-sorkin-height-weight-age-body-statistics/128168
99092,Jordan Henderson Quick Info,male,6 ft 1½ in,78 kg,https://healthyceleb.com/jordan-henderson-height-weight-age-body-statistics/99092
99377,Virgil van Dijk Quick Info,male,6 ft 4 in,92 kg,https://healthyceleb.com/virgil-van-dijk-height-weight-age-body-statistics/99377
98390,Mario Mandžukic Quick Info,male,6 ft 2¾ in,85 kg,https://healthyceleb.com/mario-mandzukic-height-weight-age-body-statistics/98390
99933,John Stones Quick Info,male,6 ft 2 in,74 kg,https://healthyceleb.com/john-stones-height-weight-age-body-statistics/99933
98377,Ousmane Dembélé Quick Info,male,5 ft 10 in,73 kg,https://healthyceleb.com/ousmane-dembele-height-weight-age-body-statistics/98377
99308,Igor Akinfeev Quick Info,male,6 ft 1 in,76 kg,https://healthyceleb.com/igor-akinfeev-height-weight-age-body-statistics/99308
100353,Kyle Walker Quick Info,male,5 ft 10 in,73 kg,https://healthyceleb.com/kyle-walker-height-weight-age-body-statistics/100353
118851,Ederson Moraes Quick Info,male,6 ft 2 in,83 kg,https://healthyceleb.com/ederson-moraes-height-weight-age-body-statistics/118851
121956,Stephen James Quick Info,male,6 ft 1 in,84 kg,https://healthyceleb.com/stephen-james-model-height-weight-age-body-statistics/121956
119341,Nicolás Otamendi Quick Info,male,5 ft 11¼ in,74 kg,https://healthyceleb.com/nicolas-otamendi-height-weight-age-body-statistics/119341
119692,Sergej Milinković-Savić Quick Info,male,6 ft 3½ in,76 kg,https://healthyceleb.com/sergej-milinkovic-savic-height-weight-age-body-statistics/119692
119745,Rodrigo Bentancur Quick Info,male,6 ft 2 in,73 kg,https://healthyceleb.com/rodrigo-bentancur-height-weight-age-body-statistics/119745
121971,Memphis Depay Quick Info,male,5 ft 9¼ in,78 kg,https://healthyceleb.com/memphis-depay-height-weight-age-body-statistics/121971
120352,Lonzo Ball Quick Info,male,6 ft 5 in,95 kg,https://healthyceleb.com/lonzo-ball-height-weight-age-body-statistics/120352
121101,Ross Barkley Quick Info,male,6 ft 1 in,86 kg,https://healthyceleb.com/ross-barkley-height-weight-age-body-statistics/121101
121963,İlkay Gündoğan Quick Info,male,5 ft 10.75 in,78 kg,https://healthyceleb.com/ilkay-gundogan-height-weight-age-body-statistics/121963
122333,Fernandinho Quick Info,male,5 ft 10 in,72 kg,https://healthyceleb.com/fernandinho-footballer-born-may-1985-height-weight-age-body-statistics/122333
107946,Pedro Quick Info,male,5 ft 6½ in,66 kg,https://healthyceleb.com/pedro-footballer-b-1987-height-weight-age-body-statistics/107946
107183,Lucas Moura Quick Info,male,5 ft 8 in,70 kg,https://healthyceleb.com/lucas-moura-height-weight-age-body-statistics/107183
99845,Mick Schumacher Quick Info,male,5 ft 8.5 in,68 kg,https://healthyceleb.com/mick-schumacher-height-weight-age-body-statistics/99845
109524,Raphael Assunção Quick Info,male,5 ft 5 in,65 kg,https://healthyceleb.com/raphael-assuncao-height-weight-age-body-statistics/109524
99716,Héctor Bellerín Quick Info,male,5 ft 10 in,74 kg,https://healthyceleb.com/hector-bellerin-height-weight-age-body-statistics/99716
100356,Ashley Young Quick Info,male,5 ft 9 in,68 kg,https://healthyceleb.com/ashley-young-height-weight-age-body-statistics/100356
100687,J. T. Barrett Quick Info,male,6 ft 2 in,100 kg,https://healthyceleb.com/j-t-barrett-height-weight-age-body-statistics/100687
100446,Adam Lallana Quick Info,male,5 ft 7¾ in,72 kg,https://healthyceleb.com/adam-lallana-height-weight-age-body-statistics/100446
